t,S,I,R
174.0,533.2509891178202,0.17378662956748545,9466.575224252612
175.0,533.2482089610568,0.15918812337410632,9466.592602915569
176.0,533.2456623576064,0.1458159144870091,9466.608521727907
177.0,533.2433296864893,0.13356699415539533,9466.623103319356
178.0,533.2411929752284,0.12234700600084496,9466.636460018772
179.0,533.2392357613253,0.1120695193038656,9466.648694719372
180.0,533.2374429653805,0.10265536331825102,9466.659901671303
181.0,533.2358007748772,0.09403201748970111,9466.670167207634
182.0,533.2342965377329,0.08613305288506894,9466.679570409384
183.0,533.232918664797,0.07889762053247655,9466.688183714672
184.0,533.2316565405429,0.0722699827333961,9466.696073476725
185.0,533.2305004412646,0.06619908373838905,9466.703300475
186.0,533.229441460148,0.06063815648106738,9466.709920383373
187.0,533.2284714386386,0.05554436234230782,9466.715984199021
188.0,533.2275829035758,0.05087846117094172,9466.721538635256
189.0,533.2267690096096,0.04660450902000859,9466.726626481373
190.0,533.2260234864566,0.04268958127098828,9466.731286932276
191.0,533.2253405905866,0.03910351901385238,9466.735555890404
192.0,533.2247150609693,0.0358186967298007,9466.739466242305
193.0,533.2241420785385,0.03280980948754873,9466.743048111977
194.0,533.223617229063,0.030053678014266613,9466.746329092926
195.0,533.223136469136,0.027529070139894096,9466.749334460728
196.0,533.2226960950222,0.02521653723962688,9466.752087367742
197.0,533.222292714123,0.023098264414857024,9466.754609021466
198.0,533.2219232188377,0.021157933258641536,9466.756918847906
199.0,533.2215847626218,0.019380596148682643,9466.759034641233
200.0,533.221274738056,0.017752561099575726,9466.760972700848
